date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:35	277/277	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jul%202023%2006:21:38%20GMT	https://shreethemes.in/techwind/layouts/contact.html	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/contact.html	(from https://shreethemes.in/techwind/layouts/index-real-estate.html)
11:51:35	277/277	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jul%202023%2006:21:39%20GMT	https://shreethemes.in/assets/images/consulting/bg.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/assets/images/consulting/bg.jpg	(from https://shreethemes.in/techwind/layouts/index-consulting.html)
11:51:36	363785/363785	---M--	200	added ('OK')	image/jpeg	etag:%2258d09-5e21eafe6d766%22	https://shreethemes.in/techwind/layouts/assets/images/real/bg/02.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/real/bg/02.jpg	(from https://shreethemes.in/techwind/layouts/index-real-estate.html)
11:51:36	61895/61895	---M--	200	added ('OK')	image/jpeg	etag:%22f1c7-5e735cc95fc03%22	https://shreethemes.in/techwind/layouts/assets/images/consulting/1.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/consulting/1.jpg	(from https://shreethemes.in/techwind/layouts/index-consulting.html)
11:51:36	35586/35586	---M--	200	added ('OK')	image/jpeg	etag:%228b02-5e735cc95fc03%22	https://shreethemes.in/techwind/layouts/assets/images/consulting/3.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/consulting/3.jpg	(from https://shreethemes.in/techwind/layouts/index-consulting.html)
11:51:36	49787/49787	---M--	200	added ('OK')	image/jpeg	etag:%22c27b-5e735cc95fc03%22	https://shreethemes.in/techwind/layouts/assets/images/consulting/2.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/consulting/2.jpg	(from https://shreethemes.in/techwind/layouts/index-consulting.html)
11:51:37	62968/62968	---M--	200	added ('OK')	image/jpeg	etag:%22f5f8-5ea3549808206%22	https://shreethemes.in/techwind/layouts/assets/images/insurance/1.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/insurance/1.jpg	(from https://shreethemes.in/techwind/layouts/index-insurance.html)
11:51:37	75152/75152	---M--	200	added ('OK')	image/jpeg	etag:%2212590-5ea35498091a6%22	https://shreethemes.in/techwind/layouts/assets/images/insurance/3.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/insurance/3.jpg	(from https://shreethemes.in/techwind/layouts/index-insurance.html)
11:51:37	85745/85745	---M--	200	added ('OK')	image/jpeg	etag:%2214ef1-5ea3549808206%22	https://shreethemes.in/techwind/layouts/assets/images/insurance/2.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/insurance/2.jpg	(from https://shreethemes.in/techwind/layouts/index-insurance.html)
11:51:37	559170/559170	---M--	200	added ('OK')	image/png	etag:%2288842-5ea354980a146%22	https://shreethemes.in/techwind/layouts/assets/images/insurance/hero.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/insurance/hero.png	(from https://shreethemes.in/techwind/layouts/index-insurance.html)
11:51:38	54588/54588	---M--	200	added ('OK')	image/jpeg	etag:%22d53c-5ea35498091a6%22	https://shreethemes.in/techwind/layouts/assets/images/insurance/4.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/insurance/4.jpg	(from https://shreethemes.in/techwind/layouts/index-insurance.html)
11:51:38	43976/43976	---M--	200	added ('OK')	image/jpeg	etag:%22abc8-5ea35498091a6%22	https://shreethemes.in/techwind/layouts/assets/images/insurance/5.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/insurance/5.jpg	(from https://shreethemes.in/techwind/layouts/index-insurance.html)
